"m","mname","bdate","sexo","f"
"http://dbpedia.org/resource/Ramin_Djawadi","Ramin Djawadi",1974-07-19,"male","http://dbpedia.org/resource/Open_Season_(2006_film)"
"http://dbpedia.org/resource/Ramin_Djawadi","Ramin Djawadi","1974-7-19","male","http://dbpedia.org/resource/Open_Season_(2006_film)"
"http://dbpedia.org/resource/Ramin_Djawadi","Ramin Djawadi",1974-07-19,"male","http://dbpedia.org/resource/Open_Season_2"
"http://dbpedia.org/resource/Ramin_Djawadi","Ramin Djawadi","1974-7-19","male","http://dbpedia.org/resource/Open_Season_2"
"http://dbpedia.org/resource/Ryan_Shore","Ryan Shore",1974-12-29,"male","http://dbpedia.org/resource/Numb_(film)"
"http://dbpedia.org/resource/Ryan_Shore","Ryan Shore",1974-12-29,"male","http://dbpedia.org/resource/Shadows_(2007_film)"
"http://dbpedia.org/resource/Émilie_Simon","Émilie Simon",1978-07-17,"female","http://dbpedia.org/resource/March_of_the_Penguins"
"http://dbpedia.org/resource/Émilie_Simon","Émilie Simon","1978-7-17","female","http://dbpedia.org/resource/March_of_the_Penguins"
"http://dbpedia.org/resource/Mack_Gordon","Mack Gordon",1904-06-21,"male","http://dbpedia.org/resource/Three_Little_Girls_in_Blue"
"http://dbpedia.org/resource/Mack_Gordon","Mack Gordon","1904-6-21","male","http://dbpedia.org/resource/Three_Little_Girls_in_Blue"
