"m","mname","bdate","sexo","f"
"http://dbpedia.org/resource/S._Rajeswara_Rao","S. Rajeswara Rao",1922-10-10,"male","http://dbpedia.org/resource/Palnati_Yuddham_(1966_film)"
"http://dbpedia.org/resource/S._Rajeswara_Rao","S. Rajeswara Rao",1922-10-11,"male","http://dbpedia.org/resource/Palnati_Yuddham_(1966_film)"
"http://dbpedia.org/resource/S._Rajeswara_Rao","Salur Rajeswara Rao",1922-10-10,"male","http://dbpedia.org/resource/Palnati_Yuddham_(1966_film)"
"http://dbpedia.org/resource/S._Rajeswara_Rao","Salur Rajeswara Rao",1922-10-11,"male","http://dbpedia.org/resource/Palnati_Yuddham_(1966_film)"
"http://dbpedia.org/resource/Carlos_d'Alessio","Carlos d'Alessio",1935-12-20,"male","http://dbpedia.org/resource/Hécate"
"http://dbpedia.org/resource/Carlos_d'Alessio","Carlos D'Alessio",1935-12-20,"male","http://dbpedia.org/resource/Hécate"
"http://dbpedia.org/resource/Carlos_d'Alessio","Carlos d'Alessio",1935-12-20,"male","http://dbpedia.org/resource/India_Song"
"http://dbpedia.org/resource/Carlos_d'Alessio","Carlos D'Alessio",1935-12-20,"male","http://dbpedia.org/resource/India_Song"
"http://dbpedia.org/resource/Jaidev","Jaidev","1919-8-3","male","http://dbpedia.org/resource/Maitighar"
"http://dbpedia.org/resource/Johnny_Douglas_(conductor)","Johnny Douglas","1920-6-19","male","http://dbpedia.org/resource/Strictly_for_the_Birds"
"http://dbpedia.org/resource/Peter_Kam","Peter Kam","1961-1-1","male","http://dbpedia.org/resource/Love_Under_the_Sun"
"http://dbpedia.org/resource/Peter_Kam","Peter Kam","1961-1-1","male","http://dbpedia.org/resource/Big_Bullet"
"http://dbpedia.org/resource/Vijaya_Bhaskar","Vijaya Bhaskar","1931-1-1","male","http://dbpedia.org/resource/Malaya_Marutha"
"http://dbpedia.org/resource/Abhijit_Pohankar","Abhijit Pohankar",1975-06-29,"male","http://dbpedia.org/resource/Kuni_Mulgi_Deta_Ka_Mulgi"
"http://dbpedia.org/resource/Abhijit_Pohankar","Abhijit Pohankar","1973-1-28","male","http://dbpedia.org/resource/Kuni_Mulgi_Deta_Ka_Mulgi"
"http://dbpedia.org/resource/Marjan_Kozina","Marjan Kozina","1907-6-4","male","http://dbpedia.org/resource/Kekec_(1951_film)"
"http://dbpedia.org/resource/Philip_Braham","Philip Braham","1881-6-18","male","http://dbpedia.org/resource/The_Limejuice_Mystery_or_Who_Spat_in_Grandfather's_Porridge%3F"
"http://dbpedia.org/resource/S._M._Subbaiah_Naidu","S. M. Subbaiah Naidu",1914-03-15,"male","http://dbpedia.org/resource/Konjum_Salangai"
"http://dbpedia.org/resource/S._M._Subbaiah_Naidu","S. M. Subbaiah Naidu","1914-3-15","male","http://dbpedia.org/resource/Konjum_Salangai"
"http://dbpedia.org/resource/Jean_Halain","Jean Halain","1920-1-14","male","http://dbpedia.org/resource/My_Wife_Is_Formidable"
"http://dbpedia.org/resource/M._B._Sreenivasan","M. B. Sreenivasan",1925-09-19,"male","http://dbpedia.org/resource/Oppol"
"http://dbpedia.org/resource/M._B._Sreenivasan","M. B. Sreenivasan","1925-9-19","male","http://dbpedia.org/resource/Oppol"
"http://dbpedia.org/resource/B._A._Chidambaranath","B. A. Chidambaranath",1924-10-13,"male","http://dbpedia.org/resource/Viruthan_Shanku"
"http://dbpedia.org/resource/B._A._Chidambaranath","B. A. Chidambaranathan",1924-10-13,"male","http://dbpedia.org/resource/Viruthan_Shanku"
"http://dbpedia.org/resource/Jagdish_Khebudkar","Jagadish Khebudkar","1932-1-1","male","http://dbpedia.org/resource/Pinjra_(film)"
"http://dbpedia.org/resource/Henri_Verdun","Henri Verdun",1895-08-29,"male","http://dbpedia.org/resource/La_Fugue_de_Monsieur_Perle"
"http://dbpedia.org/resource/Henri_Verdun","Henri Verdun","1895-8-9","male","http://dbpedia.org/resource/La_Fugue_de_Monsieur_Perle"
"http://dbpedia.org/resource/Henri_Verdun","Henri Verdun",1895-08-29,"male","http://dbpedia.org/resource/She_and_Me_(film)"
"http://dbpedia.org/resource/Henri_Verdun","Henri Verdun","1895-8-9","male","http://dbpedia.org/resource/She_and_Me_(film)"
"http://dbpedia.org/resource/Tapan_Bhattacharya","Tapan Bhattacharya",1949-11-01,"male","http://dbpedia.org/resource/Swapne_Dekha_Rajkanya"
"http://dbpedia.org/resource/Tapan_Bhattacharya","Tapan Bhattacharya","1949-11-1","male","http://dbpedia.org/resource/Swapne_Dekha_Rajkanya"
"http://dbpedia.org/resource/Jean_Marion","Jean Marion",1912-05-06,"male","http://dbpedia.org/resource/L'impossible_Monsieur_Pipelet"
"http://dbpedia.org/resource/Jean_Marion","Jean Marion","1912-5-6","male","http://dbpedia.org/resource/L'impossible_Monsieur_Pipelet"
"http://dbpedia.org/resource/Jean_Marion","Jean Marion",1912-05-06,"male","http://dbpedia.org/resource/Millionnaires_d'un_jour"
"http://dbpedia.org/resource/Jean_Marion","Jean Marion","1912-5-6","male","http://dbpedia.org/resource/Millionnaires_d'un_jour"
"http://dbpedia.org/resource/Jean_Marion","Jean Marion",1912-05-06,"male","http://dbpedia.org/resource/My_Wife_Is_Formidable"
"http://dbpedia.org/resource/Jean_Marion","Jean Marion","1912-5-6","male","http://dbpedia.org/resource/My_Wife_Is_Formidable"
"http://dbpedia.org/resource/Jean_Marion","Jean Marion",1912-05-06,"male","http://dbpedia.org/resource/Taxi,_Roulotte_et_Corrida"
"http://dbpedia.org/resource/Jean_Marion","Jean Marion","1912-5-6","male","http://dbpedia.org/resource/Taxi,_Roulotte_et_Corrida"
"http://dbpedia.org/resource/Kennedy_Russell","Kennedy Russell","1883-0-0","male","http://dbpedia.org/resource/Those_Kids_from_Town"
"http://dbpedia.org/resource/Kennedy_Russell","Kennedy Russell","1883-0-0","male","http://dbpedia.org/resource/When_We_Are_Married_(film)"
"http://dbpedia.org/resource/Lane_Caudell","Lane Caudell",1952-04-25,"male","http://dbpedia.org/resource/Sasquatch,_the_Legend_of_Bigfoot"
"http://dbpedia.org/resource/Lane_Caudell","Lane Caudell","1952-4-25","male","http://dbpedia.org/resource/Sasquatch,_the_Legend_of_Bigfoot"
"http://dbpedia.org/resource/Pierre_Dudan","Pierre Dudan",1916-02-01,"male","http://dbpedia.org/resource/Certains_l'aiment_froide"
"http://dbpedia.org/resource/Pierre_Dudan","Pierre Dudan","1916-2-1","male","http://dbpedia.org/resource/Certains_l'aiment_froide"
"http://dbpedia.org/resource/Pierre_Dudan","Pierre Dudan",1916-02-01,"male","http://dbpedia.org/resource/Dans_l'eau_qui_fait_des_bulles"
"http://dbpedia.org/resource/Pierre_Dudan","Pierre Dudan","1916-2-1","male","http://dbpedia.org/resource/Dans_l'eau_qui_fait_des_bulles"
"http://dbpedia.org/resource/Rauf_Dhomi","Rauf Dhomi","1945-12-4","male","http://dbpedia.org/resource/Man_of_Soil"
"http://dbpedia.org/resource/Eddie_Kilfeather","Eddie Kilfeather","1900-4-5","male","http://dbpedia.org/resource/The_Case_of_the_Screaming_Bishop"
"http://dbpedia.org/resource/Akiko_Yano","Akiko Yano",1955-02-13,"female","http://dbpedia.org/resource/My_Neighbors_the_Yamadas"
"http://dbpedia.org/resource/Akiko_Yano","Akiko Yano","1955-2-15","female","http://dbpedia.org/resource/My_Neighbors_the_Yamadas"
"http://dbpedia.org/resource/Cole_Porter","Cole Porter","1891-6-9","male","http://dbpedia.org/resource/Can-Can_(film)"
"http://dbpedia.org/resource/Dudley_Moore","Dudley Moore",1935-04-19,"male","http://dbpedia.org/resource/Bedazzled_(1967_film)"
"http://dbpedia.org/resource/Dudley_Moore","Dudley Moore","1935-4-19","male","http://dbpedia.org/resource/Bedazzled_(1967_film)"
"http://dbpedia.org/resource/Dudley_Moore","(CBE)",1935-04-19,"male","http://dbpedia.org/resource/Bedazzled_(1967_film)"
"http://dbpedia.org/resource/Dudley_Moore","(CBE)","1935-4-19","male","http://dbpedia.org/resource/Bedazzled_(1967_film)"
"http://dbpedia.org/resource/Duke_Ellington","Duke Ellington",1899-04-29,"male","http://dbpedia.org/resource/Symphony_in_Black"
"http://dbpedia.org/resource/Duke_Ellington","Duke Ellington","1899-4-29","male","http://dbpedia.org/resource/Symphony_in_Black"
"http://dbpedia.org/resource/Henry_Mancini","Henry Mancini",1924-04-16,"male","http://dbpedia.org/resource/Creature_from_the_Black_Lagoon"
"http://dbpedia.org/resource/Henry_Mancini","Henry Mancini","1924-4-16","male","http://dbpedia.org/resource/Creature_from_the_Black_Lagoon"
"http://dbpedia.org/resource/Henry_Mancini","Henry Mancini",1924-04-16,"male","http://dbpedia.org/resource/Interlude_(1957_film)"
"http://dbpedia.org/resource/Henry_Mancini","Henry Mancini","1924-4-16","male","http://dbpedia.org/resource/Interlude_(1957_film)"
"http://dbpedia.org/resource/Henry_Mancini","Henry Mancini",1924-04-16,"male","http://dbpedia.org/resource/Santa_Claus:_The_Movie"
"http://dbpedia.org/resource/Henry_Mancini","Henry Mancini","1924-4-16","male","http://dbpedia.org/resource/Santa_Claus:_The_Movie"
"http://dbpedia.org/resource/R._Kelly","R. Kelly",1967-01-08,"male","http://dbpedia.org/resource/Life_(1999_film)"
"http://dbpedia.org/resource/R._Kelly","R. Kelly","1967-1-8","male","http://dbpedia.org/resource/Life_(1999_film)"
"http://dbpedia.org/resource/Tom_Waits","Tom Waits",1949-12-07,"male","http://dbpedia.org/resource/Down_by_Law_(film)"
"http://dbpedia.org/resource/Tom_Waits","Tom Waits","1949-12-7","male","http://dbpedia.org/resource/Down_by_Law_(film)"
"http://dbpedia.org/resource/Tom_Waits","Tom Waits",1949-12-07,"male","http://dbpedia.org/resource/Night_on_Earth"
"http://dbpedia.org/resource/Tom_Waits","Tom Waits","1949-12-7","male","http://dbpedia.org/resource/Night_on_Earth"
"http://dbpedia.org/resource/Wolfgang_Amadeus_Mozart","Wolfgang Amadeus Mozart","1756-1-27","male","http://dbpedia.org/resource/Eroica_(2003_film)"
"http://dbpedia.org/resource/Wolfgang_Amadeus_Mozart","Wolfgang Amadeus Mozart","1756-1-27","male","http://dbpedia.org/resource/Killing_Time_(2013_film)"
"http://dbpedia.org/resource/Johnny_Mandel","Johnny Mandel",1925-11-23,"male","http://dbpedia.org/resource/Deathtrap_(film)"
"http://dbpedia.org/resource/Johnny_Mandel","Johnny Mandel",1925-11-23,"male","http://dbpedia.org/resource/Harper_(film)"
"http://dbpedia.org/resource/Johnny_Mandel","Johnny Mandel",1925-11-23,"male","http://dbpedia.org/resource/MASH_(film)"
"http://dbpedia.org/resource/Alan_Silvestri","Alan Silvestri",1950-03-26,"male","http://dbpedia.org/resource/Cat's_Eye_(1985_film)"
"http://dbpedia.org/resource/Alan_Silvestri","Alan Silvestri","1950-3-26","male","http://dbpedia.org/resource/Cat's_Eye_(1985_film)"
"http://dbpedia.org/resource/Alan_Silvestri","Alan Silvestri",1950-03-26,"male","http://dbpedia.org/resource/Father_of_the_Bride_(1991_film)"
"http://dbpedia.org/resource/Alan_Silvestri","Alan Silvestri","1950-3-26","male","http://dbpedia.org/resource/Father_of_the_Bride_(1991_film)"
"http://dbpedia.org/resource/Alan_Silvestri","Alan Silvestri",1950-03-26,"male","http://dbpedia.org/resource/Father_of_the_Bride_Part_II"
"http://dbpedia.org/resource/Alan_Silvestri","Alan Silvestri","1950-3-26","male","http://dbpedia.org/resource/Father_of_the_Bride_Part_II"
"http://dbpedia.org/resource/Alan_Silvestri","Alan Silvestri",1950-03-26,"male","http://dbpedia.org/resource/Lilo_&_Stitch"
"http://dbpedia.org/resource/Alan_Silvestri","Alan Silvestri","1950-3-26","male","http://dbpedia.org/resource/Lilo_&_Stitch"
"http://dbpedia.org/resource/Eduard_Artemyev","Eduard Artemyev",1937-11-30,"male","http://dbpedia.org/resource/12_(2007_film)"
"http://dbpedia.org/resource/Eduardo_Hernández_Moncada","Eduardo Hernández Moncada","1899-9-24","male","http://dbpedia.org/resource/Desired_(film)"
"http://dbpedia.org/resource/Johnson_(composer)","Johnson",1953-03-26,"male","http://dbpedia.org/resource/Saadaram"
"http://dbpedia.org/resource/Johnson_(composer)","Johnson","1953-3-26","male","http://dbpedia.org/resource/Saadaram"
"http://dbpedia.org/resource/Johnson_(composer)","ജോണ്‍സണ്‍",1953-03-26,"male","http://dbpedia.org/resource/Saadaram"
"http://dbpedia.org/resource/Johnson_(composer)","ജോണ്‍സണ്‍","1953-3-26","male","http://dbpedia.org/resource/Saadaram"
"http://dbpedia.org/resource/Rafael_Hernández_Marín","Rafael Hernández Marín",1891-10-24,"male","http://dbpedia.org/resource/El_Siete_Machos"
"http://dbpedia.org/resource/Rafael_Hernández_Marín","Rafael Hernández Marín",1892-10-24,"male","http://dbpedia.org/resource/El_Siete_Machos"
"http://dbpedia.org/resource/Rafael_Hernández_Marín","Rafael Hernández",1891-10-24,"male","http://dbpedia.org/resource/El_Siete_Machos"
"http://dbpedia.org/resource/Rafael_Hernández_Marín","Rafael Hernández",1892-10-24,"male","http://dbpedia.org/resource/El_Siete_Machos"
"http://dbpedia.org/resource/Roy_Webb","Roy Webb","1888-10-3","male","http://dbpedia.org/resource/Bombardier_(film)"
"http://dbpedia.org/resource/Roy_Webb","Roy Webb","1888-10-3","male","http://dbpedia.org/resource/Nevada_(1944_film)"
"http://dbpedia.org/resource/Shyam_(composer)","Shyam","1938-1-1","male","http://dbpedia.org/resource/Sangham_(1988_film)"
"http://dbpedia.org/resource/Shyam_(composer)","Shyam","1938-1-1","male","http://dbpedia.org/resource/Black_Belt_(1978_film)"
"http://dbpedia.org/resource/Henri_Seroka","Henri Seroka","1949-5-9","male","http://dbpedia.org/resource/Sebastian_Star_Bear:_First_Mission"
"http://dbpedia.org/resource/Justin_R._Durban","Justin R. Durban",1977-12-07,"male","http://dbpedia.org/resource/Redemption_(2009_film)"
"http://dbpedia.org/resource/Justin_R._Durban","Justin R. Durban","1977-12-7","male","http://dbpedia.org/resource/Redemption_(2009_film)"
"http://dbpedia.org/resource/Nathan_Barr","Nathan Barr",1973-02-09,"male","http://dbpedia.org/resource/Open_House_(2010_film)"
"http://dbpedia.org/resource/Nathan_Barr","Nathan Barr","1973-2-9","male","http://dbpedia.org/resource/Open_House_(2010_film)"
"http://dbpedia.org/resource/Ram_Sampath","Ram Sampath","1977-1-1","male","http://dbpedia.org/resource/Family_(2006_film)"
"http://dbpedia.org/resource/Samantha_Fonti","Samantha Fonti","1973-2-12","female","http://dbpedia.org/resource/Wrong_Answer"
"http://dbpedia.org/resource/Sharreth","Sharreth",1969-10-03,"male","http://dbpedia.org/resource/Thalsamayam_Oru_Penkutty"
"http://dbpedia.org/resource/Sharreth","Sharreth","1969-10-3","male","http://dbpedia.org/resource/Thalsamayam_Oru_Penkutty"
"http://dbpedia.org/resource/Bill_Justis","Bill Justis",1926-10-14,"male","http://dbpedia.org/resource/Hooper_(film)"
"http://dbpedia.org/resource/Buddy_Baker_(composer)","Buddy Baker",1918-01-04,"male","http://dbpedia.org/resource/Rascal_(film)"
"http://dbpedia.org/resource/Buddy_Baker_(composer)","Buddy Baker","1918-1-4","male","http://dbpedia.org/resource/Rascal_(film)"
"http://dbpedia.org/resource/Ernest_Gold_(composer)","Ernest Gold",1921-07-13,"male","http://dbpedia.org/resource/Exodus_(1960_film)"
"http://dbpedia.org/resource/Ernest_Gold_(composer)","Ernest Gold","1921-7-13","male","http://dbpedia.org/resource/Exodus_(1960_film)"
"http://dbpedia.org/resource/Ernest_Gold_(composer)","Ernest Gold",1921-07-13,"male","http://dbpedia.org/resource/Exposed_(1947_film)"
"http://dbpedia.org/resource/Ernest_Gold_(composer)","Ernest Gold","1921-7-13","male","http://dbpedia.org/resource/Exposed_(1947_film)"
