"a","aname","bdate","sexo","f"
"http://dbpedia.org/resource/Billy_Bob_Thornton","Billy Bob Thornton","1955-8-4","male","http://dbpedia.org/resource/The_Winner_(1996_film)"
"http://dbpedia.org/resource/Blythe_Danner","Blythe Danner",1943-02-03,"female","http://dbpedia.org/resource/The_X-Files_(film)"
"http://dbpedia.org/resource/Blythe_Danner","Blythe Danner","1943-2-3","female","http://dbpedia.org/resource/The_X-Files_(film)"
"http://dbpedia.org/resource/Gene_Hackman","Gene Hackman",1930-01-30,"male","http://dbpedia.org/resource/Twice_in_a_Lifetime_(film)"
"http://dbpedia.org/resource/Gene_Hackman","Gene Hackman","1930-1-30","male","http://dbpedia.org/resource/Twice_in_a_Lifetime_(film)"
"http://dbpedia.org/resource/Gene_Hackman","Gene Hackman",1930-01-30,"male","http://dbpedia.org/resource/Twilight_(1998_film)"
"http://dbpedia.org/resource/Gene_Hackman","Gene Hackman","1930-1-30","male","http://dbpedia.org/resource/Twilight_(1998_film)"
"http://dbpedia.org/resource/Ian_McKellen","Ian McKellen",1939-05-25,"male","http://dbpedia.org/resource/Zina_(film)"
"http://dbpedia.org/resource/Ian_McKellen","Ian McKellen","1939-5-25","male","http://dbpedia.org/resource/Zina_(film)"
"http://dbpedia.org/resource/Ice-T","Ice-T",1958-02-16,"male","http://dbpedia.org/resource/Trespass_(1992_film)"
"http://dbpedia.org/resource/Ice-T","Ice-T","1958-2-16","male","http://dbpedia.org/resource/Trespass_(1992_film)"
"http://dbpedia.org/resource/Joshua_Jackson","Joshua Jackson",1978-06-11,"male","http://dbpedia.org/resource/The_Skulls_(film)"
"http://dbpedia.org/resource/Joshua_Jackson","Joshua Jackson","1978-6-11","male","http://dbpedia.org/resource/The_Skulls_(film)"
"http://dbpedia.org/resource/Marlon_Brando","Marlon Brando",1924-04-03,"male","http://dbpedia.org/resource/The_Young_Lions_(film)"
"http://dbpedia.org/resource/Marlon_Brando","Marlon Brando","1924-4-3","male","http://dbpedia.org/resource/The_Young_Lions_(film)"
"http://dbpedia.org/resource/Nicolas_Cage","Nicolas Cage",1964-01-07,"male","http://dbpedia.org/resource/Trespass_(2011_film)"
"http://dbpedia.org/resource/Nicolas_Cage","Nicolas Cage","1964-1-7","male","http://dbpedia.org/resource/Trespass_(2011_film)"
