"f","fname","dir","music","writer","country","lang"
"http://dbpedia.org/resource/Carry_On_(franchise)","Carry On","http://dbpedia.org/resource/Gerald_Thomas","http://dbpedia.org/resource/Eric_Rogers_(composer)","http://dbpedia.org/resource/Norman_Hudis","United Kingdom","English"
"http://dbpedia.org/resource/Carry_On_(franchise)","Carry On","http://dbpedia.org/resource/Gerald_Thomas","http://dbpedia.org/resource/Eric_Rogers_(composer)","http://dbpedia.org/resource/Talbot_Rothwell","United Kingdom","English"
"http://dbpedia.org/resource/Cast_Away","Cast Away","http://dbpedia.org/resource/Robert_Zemeckis","http://dbpedia.org/resource/Alan_Silvestri","http://dbpedia.org/resource/William_Broyles,_Jr.","United States","English"
"http://dbpedia.org/resource/Crossfire_(film)","Crossfire","http://dbpedia.org/resource/Edward_Dmytryk","http://dbpedia.org/resource/Roy_Webb","http://dbpedia.org/resource/John_Paxton","United States","English"
"http://dbpedia.org/resource/Donnie_Darko","Donnie Darko","http://dbpedia.org/resource/Richard_Kelly_(director)","http://dbpedia.org/resource/Michael_Andrews_(musician)","http://dbpedia.org/resource/Richard_Kelly_(director)","United States","English"
"http://dbpedia.org/resource/Everyone_Says_I_Love_You","Everyone Says I Love You","http://dbpedia.org/resource/Woody_Allen","http://dbpedia.org/resource/Dick_Hyman","http://dbpedia.org/resource/Woody_Allen","United States","English"
"http://dbpedia.org/resource/Forbidden_Planet","Forbidden Planet","http://dbpedia.org/resource/Fred_M._Wilcox","http://dbpedia.org/resource/Bebe_and_Louis_Barron","http://dbpedia.org/resource/Cyril_Hume","United States","English"
"http://dbpedia.org/resource/Forrest_Gump","Forrest Gump","http://dbpedia.org/resource/Robert_Zemeckis","http://dbpedia.org/resource/Alan_Silvestri","http://dbpedia.org/resource/Eric_Roth","United States","English"
"http://dbpedia.org/resource/French_Kiss_(1995_film)","French Kiss","http://dbpedia.org/resource/Lawrence_Kasdan","http://dbpedia.org/resource/James_Newton_Howard","http://dbpedia.org/resource/Adam_Brooks_(filmmaker)","United States","* English
* French"
"http://dbpedia.org/resource/From_Here_to_Eternity","From Here to Eternity","http://dbpedia.org/resource/Fred_Zinnemann","http://dbpedia.org/resource/George_Duning","http://dbpedia.org/resource/Daniel_Taradash","United States","English"
"http://dbpedia.org/resource/Gattaca","Gattaca","http://dbpedia.org/resource/Andrew_Niccol","http://dbpedia.org/resource/Michael_Nyman","http://dbpedia.org/resource/Andrew_Niccol","United States","English"
"http://dbpedia.org/resource/Going_My_Way","Going My Way","http://dbpedia.org/resource/Leo_McCarey","http://dbpedia.org/resource/Robert_Emmett_Dolan","http://dbpedia.org/resource/Frank_Butler_(writer)","United States","English"
