"w","writer","bdate","sexo","f"
"http://dbpedia.org/resource/José_Régio","José Régio",1901-09-17,"male","http://dbpedia.org/resource/The_Divine_Comedy_(film)"
"http://dbpedia.org/resource/José_Régio","José Régio","1901-9-17","male","http://dbpedia.org/resource/The_Divine_Comedy_(film)"
"http://dbpedia.org/resource/José_Régio","José Regio",1901-09-17,"male","http://dbpedia.org/resource/The_Divine_Comedy_(film)"
"http://dbpedia.org/resource/José_Régio","José Regio","1901-9-17","male","http://dbpedia.org/resource/The_Divine_Comedy_(film)"
"http://dbpedia.org/resource/Judy_Morris","Judy Morris","1947-1-1","female","http://dbpedia.org/resource/The_Eye_of_the_Storm_(2011_film)"
"http://dbpedia.org/resource/Ti_West","Ti West",1980-10-05,"male","http://dbpedia.org/resource/The_Innkeepers_(film)"
"http://dbpedia.org/resource/Ti_West","Ti West","1980-10-5","male","http://dbpedia.org/resource/The_Innkeepers_(film)"
"http://dbpedia.org/resource/Ti_West","Ti West",1980-10-05,"male","http://dbpedia.org/resource/The_Sacrament_(2013_film)"
"http://dbpedia.org/resource/Ti_West","Ti West","1980-10-5","male","http://dbpedia.org/resource/The_Sacrament_(2013_film)"
"http://dbpedia.org/resource/Paul_Leyden","Paul Leyden",1972-12-16,"male","http://dbpedia.org/resource/The_Factory_(film)"
"http://dbpedia.org/resource/Bob_Brooks","Bob Brooks",1927-12-26,"male","http://dbpedia.org/resource/Tattoo_(1981_film)"
"http://dbpedia.org/resource/Domenico_Distilo","Domenico Distilo",1978-12-25,"male","http://dbpedia.org/resource/Unexpected_(2005_film)"
"http://dbpedia.org/resource/Whitfield_Cook","Whitfield Cook",1909-04-09,"male","http://dbpedia.org/resource/Stage_Fright_(1950_film)"
"http://dbpedia.org/resource/Whitfield_Cook","Whitfield Cook","1909-4-9","male","http://dbpedia.org/resource/Stage_Fright_(1950_film)"
"http://dbpedia.org/resource/Mohammad_Ali_Bashe_Ahangar","Mohammad Ali Bashe Ahangar",1962-12-08,"male","http://dbpedia.org/resource/The_Queen_(2012_film)"
"http://dbpedia.org/resource/Mohammad_Ali_Bashe_Ahangar","Mohammad Ali Bashe Ahangar","1962-12-8","male","http://dbpedia.org/resource/The_Queen_(2012_film)"
"http://dbpedia.org/resource/Oles_Sanin","Oles Sanin","1972-1-1","male","http://dbpedia.org/resource/The_Guide_(film)"
"http://dbpedia.org/resource/Adam_G._Simon","Adam G. Simon",1977-03-13,"male","http://dbpedia.org/resource/Synapse_(film)"
